Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-03-03 11:32:32,false,"Santa Maria da Feira Corrida","18.02","1,437","01:15:28","142","154","3.7","168","185","4:11","3:44","217","218","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:15:28.32","1","0.0","01:15:23","01:15:28","217","310"
Running,2024-03-02 11:12:10,false,"Guimarães Corrida","1.04","86","00:05:43.9","126","141","0.7","165","181","5:30","4:44","18","8","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:43.85","1","0.0","00:05:37","00:06:08.6","150","168"
Running,2024-03-02 10:44:01,false,"Guimarães Corrida","6.71","491","00:25:43","154","174","3.0","165","202","3:50","2:53","52","51","1.54","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.01","10","0.0","00:24:33","00:25:43","149","158"
Running,2024-03-02 10:07:05,false,"Guimarães Corrida","6.01","469","00:26:49","133","150","2.5","169","186","4:28","3:59","55","61","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","26:49.41","1","0.0","00:26:49","00:27:54","137","164"
Running,2024-03-01 18:19:05,false,"Braga Corrida","15.02","1,074","01:03:35","127","137","3.0","169","187","4:14","3:31","407","406","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:03:34.91","1","0.0","01:03:18","01:12:22","179","194"
Running,2024-03-01 07:34:37,false,"Braga Corrida","10.10","745","00:44:19","130","154","2.7","170","188","4:23","3:58","87","123","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:19.40","1","0.0","00:44:10","00:45:38","51","120"
Treadmill Running,2024-02-29 18:11:36,false,"Jogging em passadeira","10.00","685","00:44:09","131","144","2.3","161","172","4:25","3:35","--","--","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","44:08.65","1","0.0","00:44:08","00:44:09","--","--"
Running,2024-02-29 07:37:48,false,"Braga Corrida","15.01","1,154","01:04:45","136","152","3.2","170","190","4:19","3:18","263","260","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:04:45.02","1","0.0","01:04:40","01:04:45","115","201"
Running,2024-02-28 08:16:41,false,"Braga Corrida","15.01","1,160","01:06:28","132","150","3.2","172","188","4:26","3:00","238","237","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:06:27.62","1","0.0","01:06:07","01:06:52","112","200"
Running,2024-02-27 19:58:49,false,"Braga Corrida","3.10","233","00:15:01","125","131","1.5","173","184","4:50","4:31","80","80","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:01.35","1","0.0","00:14:57","00:15:01","179","193"
Running,2024-02-27 19:19:58,false,"Braga Corrida","6.57","509","00:25:59","154","173","3.1","152","215","3:57","2:13","121","115","1.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.37","30","0.0","00:22:52","00:25:59","180","192"
Running,2024-02-27 18:26:38,false,"Braga Corrida","7.01","508","00:29:48","131","138","2.4","169","180","4:15","3:51","184","184","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:48.37","1","0.0","00:29:43","00:29:48","179","193"
Running,2024-02-27 07:38:08,false,"Braga Corrida","10.01","760","00:42:56","136","159","3.0","169","186","4:17","3:50","121","140","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","42:55.85","1","0.0","00:42:50","00:42:56","51","120"
Running,2024-02-26 17:46:53,false,"Braga Corrida","13.04","918","00:53:19","132","140","2.9","169","190","4:05","3:44","358","363","1.44","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","53:19.45","1","0.0","00:53:17","00:53:19","179","194"
